collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos
3,6,30,1,13,4,4,1,1,0,2,1,9,0,10.5,-0.1736481776669312,0.984807753012208,-0.7818314824680299,0.6234898018587334
3,6,40,2,13,4,4,1,2,0,3,1,9,0,11.333333333333334,-0.8968727415326883,-0.4422886902190013,-0.433883739117558,-0.9009688679024191
3,6,30,2,19,4,1,2,2,0,2,1,3,1,8.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419
3,9,30,1,0,-1,1,1,1,0,2,1,5,0,12.5,-0.2714404498650739,-0.9624552364536474,-0.7818314824680299,0.6234898018587334
3,3,30,1,0,4,1,1,1,0,2,1,1,0,5.5,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
3,6,30,1,13,4,1,1,1,0,2,1,1,0,4.5,0.6225146366376196,-0.7826081568524139,-0.7818314824680299,0.6234898018587334
2,6,30,1,13,4,1,1,1,0,2,1,9,0,3.5,-0.7575649843840494,-0.6527597524627227,0.9749279121818236,-0.2225209339563143
3,6,30,1,0,-1,4,1,1,0,2,3,9,0,4.0,-0.3502073812594676,0.9366721892483976,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,2,1,2,2,0,2,1,9,0,6.5,0.8433914458128858,-0.5372996083468236,-0.9749279121818236,-0.2225209339563146
3,1,40,1,0,4,4,2,2,0,2,1,9,0,6.5,-0.8191520442889918,0.573576436351046,0.9749279121818236,-0.2225209339563143
3,6,30,2,0,-1,1,1,1,0,1,1,9,0,8.0,-0.8241261886220157,-0.5664062369248328,-0.9749279121818236,-0.2225209339563146
3,6,30,2,13,4,1,1,1,0,1,1,11,0,-1.0,0.8503522249955631,-0.5262139236518693,0.4338837391175582,-0.900968867902419
3,6,20,1,0,-1,4,2,2,0,2,1,9,1,5.0,-0.848048096156426,-0.529919264233205,0.4338837391175582,-0.900968867902419
3,6,30,1,0,-1,4,1,4,0,1,1,9,5,15.0,0.9914448613738104,0.1305261922200517,-0.433883739117558,-0.9009688679024191
3,6,30,1,16,4,1,1,1,0,2,2,9,0,8.5,-0.9063077870366496,-0.4226182617406999,-0.433883739117558,-0.9009688679024191
3,1,30,1,0,4,1,1,1,0,2,1,9,0,8.5,-0.5187732581605212,-0.8549118706729467,-0.9749279121818236,-0.2225209339563146
3,6,60,2,0,-1,1,1,1,0,2,2,9,0,6.5,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
3,3,70,2,0,-1,6,1,1,0,2,1,9,0,4.5,-0.0436193873653353,0.9990482215818578,0.4338837391175582,-0.900968867902419
3,1,30,1,0,-1,4,2,2,0,2,3,9,0,2.5,-0.9914448613738104,-0.1305261922200516,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,4,1,1,1,0,2,1,1,0,3.5,0.3214394653031617,-0.9469301294951056,-0.9749279121818236,-0.2225209339563146
3,6,30,1,0,-1,4,5,2,0,2,1,9,0,14.5,-0.9990482215818578,0.0436193873653357,-0.7818314824680299,0.6234898018587334
3,6,30,1,0,-1,1,1,1,0,2,1,1,0,1.0,0.3826834323650899,-0.9238795325112868,0.9749279121818236,-0.2225209339563143
2,1,30,1,0,2,4,1,1,0,2,1,1,0,1.5,0.9914448613738104,0.1305261922200517,0.9749279121818236,-0.2225209339563143
3,6,30,1,13,4,4,1,1,0,2,2,9,0,8.5,-0.0566927875633769,-0.9983916705573488,0.9749279121818236,-0.2225209339563143
3,6,30,1,0,-1,4,1,1,0,1,1,9,1,16.0,0.9914448613738104,-0.1305261922200513,-2.4492935982947064e-16,1.0
3,6,30,1,13,4,4,1,1,0,1,1,9,0,10.0,-0.9914448613738104,0.1305261922200521,-0.433883739117558,-0.9009688679024191
2,6,30,1,16,2,1,2,2,0,5,2,9,0,7.4,-0.3420201433256686,-0.9396926207859084,-0.7818314824680299,0.6234898018587334
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,-0.5,0.7798844830928817,-0.6259234721840591,-0.7818314824680299,0.6234898018587334
2,3,30,1,13,4,1,1,1,0,2,2,9,0,4.0,0.763232469782529,-0.6461239796429636,-0.9749279121818236,-0.2225209339563146
3,6,60,2,0,-1,1,7,4,0,2,1,9,0,8.5,0.7933533402912352,-0.6087614290087207,-0.9749279121818236,-0.2225209339563146
3,6,30,1,19,4,4,1,1,0,2,4,9,0,9.5,-0.8457278217039731,0.5336145159156118,0.7818314824680298,0.6234898018587336
3,6,40,2,19,4,1,1,1,0,3,2,9,0,7.666666666666667,-0.8968727415326884,0.442288690219001,-0.7818314824680299,0.6234898018587334
3,6,30,1,16,4,1,1,1,0,2,2,9,0,6.5,0.8433914458128858,-0.5372996083468236,0.4338837391175582,-0.900968867902419
3,6,30,1,0,-1,1,1,-1,0,2,1,3,-1,7.0,0.7223639620597556,-0.6915130557822693,0.4338837391175582,-0.900968867902419
3,6,30,1,13,3,1,1,1,0,2,3,8,0,8.0,-0.7660444431189779,-0.6427876096865395,0.4338837391175582,-0.900968867902419
3,2,30,1,0,-1,1,1,1,0,1,2,9,0,8.0,0.6915130557822694,-0.7223639620597555,0.9749279121818236,-0.2225209339563143
3,2,20,1,13,4,4,1,1,0,2,1,1,0,1.5,-0.8549118706729468,0.5187732581605211,-0.433883739117558,-0.9009688679024191
3,9,30,2,0,-1,1,1,1,0,1,1,17,0,-1.0,-0.9238795325112868,-0.3826834323650895,-0.7818314824680299,0.6234898018587334
3,6,30,1,19,4,1,2,2,0,2,2,9,0,6.0,-0.3826834323650892,-0.923879532511287,0.4338837391175582,-0.900968867902419
2,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,-0.6788007455329418,-0.7343225094356856,-2.4492935982947064e-16,1.0
3,6,30,1,0,4,1,1,1,0,1,1,3,1,3.0,-0.872496007072797,-0.4886212414969553,0.7818314824680298,0.6234898018587336
3,3,70,2,0,-1,1,1,1,0,3,3,9,0,1.3333333333333333,-0.2546019482055274,-0.9670459389139432,0.9749279121818236,-0.2225209339563143
2,6,60,2,0,-1,1,1,1,0,2,2,9,0,5.5,-0.9940563382223196,-0.108866874851965,-0.433883739117558,-0.9009688679024191
3,6,30,1,13,4,1,1,1,0,3,1,9,0,12.333333333333334,-0.5842496656374342,-0.8115739819650124,-0.7818314824680299,0.6234898018587334
3,6,30,1,16,2,1,1,1,0,2,1,9,0,6.0,-0.8594064115014526,0.5112930860770523,0.4338837391175582,-0.900968867902419
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,0.8241261886220158,-0.5664062369248326,-0.7818314824680299,0.6234898018587334
3,6,30,2,0,-1,1,1,1,13,2,1,5,0,-1.0,0.2079116908177593,-0.9781476007338056,-2.4492935982947064e-16,1.0
3,6,50,2,13,4,1,1,1,0,2,1,3,0,-1.0,-0.2840153447039223,-0.9588197348681932,0.4338837391175582,-0.900968867902419
2,6,60,2,13,4,1,1,1,0,2,1,5,1,5.0,0.1305261922200515,-0.9914448613738104,0.9749279121818236,-0.2225209339563143
2,3,40,1,0,-1,1,1,1,0,1,1,9,0,2.0,-0.3624380382837015,-0.9320078692827986,0.4338837391175582,-0.900968867902419
2,6,30,1,13,4,7,1,1,0,2,1,-1,0,-1.0,-0.9255405040175664,0.3786486173524326,-0.433883739117558,-0.9009688679024191
3,6,30,1,13,4,1,1,1,0,3,1,3,0,8.0,-0.1478094111296106,-0.9890158633619168,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,4,1,1,1,0,2,1,1,0,2.5,0.8638355052043957,-0.5037739770455262,0.4338837391175582,-0.900968867902419
3,6,20,1,0,-1,1,1,1,0,1,1,9,0,15.0,-0.1305261922200513,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146
3,6,30,1,13,4,1,1,1,0,2,1,1,0,6.5,-0.1950903220161279,-0.9807852804032304,-0.7818314824680299,0.6234898018587334
2,6,40,2,13,4,4,1,1,0,1,1,9,2,14.0,0.9692309097067544,0.2461532930289931,-0.9749279121818236,-0.2225209339563146
3,6,60,2,0,-1,4,1,4,0,2,2,9,0,5.5,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191
3,1,30,2,0,4,4,1,1,0,1,1,9,0,6.0,0.0174524064372835,0.9998476951563912,-2.4492935982947064e-16,1.0
3,6,50,2,0,-1,1,1,1,0,1,2,9,0,45.0,-0.8929789434111368,-0.4500984410374354,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,4,1,1,2,0,2,1,1,0,-1.0,-0.9762960071199334,-0.2164396139381028,-0.9749279121818236,-0.2225209339563146
3,1,70,2,0,2,1,2,2,0,4,1,9,0,3.75,0.4539904997395468,-0.8910065241883678,0.9749279121818236,-0.2225209339563143
3,6,50,2,0,-1,1,1,1,0,2,1,5,0,14.0,-0.9411760152563706,-0.337916718003327,-0.9749279121818236,-0.2225209339563146
3,3,70,2,0,-1,6,1,2,0,1,1,4,1,8.0,-0.9940563382223196,-0.108866874851965,-2.4492935982947064e-16,1.0
3,6,30,2,13,4,4,1,1,0,1,1,9,0,13.0,-0.9972501850994856,-0.0741084901953992,-0.433883739117558,-0.9009688679024191
3,3,70,2,0,-1,1,2,5,0,1,1,9,2,5.0,-0.3338068592337705,-0.9426414910921784,-0.7818314824680299,0.6234898018587334
3,6,30,2,0,-1,1,1,1,0,2,1,9,0,10.0,0.3826834323650899,-0.9238795325112868,-0.7818314824680299,0.6234898018587334
3,6,60,2,18,4,1,2,1,0,2,2,9,0,6.0,0.3583679495453002,-0.9335804264972016,0.9749279121818236,-0.2225209339563143
2,3,70,2,0,-1,1,1,2,0,1,1,9,1,15.0,-0.1779435454738416,-0.9840406976462908,-0.433883739117558,-0.9009688679024191
3,6,50,1,0,-1,1,1,1,0,2,3,9,0,16.5,-0.5262139236518699,0.8503522249955626,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,4,4,1,1,0,2,1,3,2,3.0,-0.3826834323650895,0.9238795325112868,-0.7818314824680299,0.6234898018587334
3,6,30,1,13,4,1,1,4,0,2,2,9,0,8.5,0.6691306063588583,-0.7431448254773941,-0.9749279121818236,-0.2225209339563146
