collision_severity,day_of_week,time,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,worst_casualty_severity,any_pedestrian,avg_casualty_age
3,6,23:20,6,30,1,13,4,4,1,1,0,2,1,9,0,10.5,3,0,45.0
3,4,16:15,6,40,2,13,4,4,1,2,0,3,1,9,0,11.333333333333334,3,0,61.0
3,3,10:00,6,30,2,19,4,1,2,2,0,2,1,3,1,8.0,3,0,18.0
3,6,13:03,9,30,1,0,-1,1,1,1,0,2,1,5,0,12.5,3,0,54.0
3,3,20:00,3,30,1,0,4,1,1,1,0,2,1,1,0,5.5,3,0,39.0
3,6,09:26,6,30,1,13,4,1,1,1,0,2,1,1,0,4.5,3,0,49.0
2,2,15:17,6,30,1,13,4,1,1,1,0,2,1,9,0,3.5,2,0,52.0
3,6,22:38,6,30,1,0,-1,4,1,1,0,2,3,9,0,4.0,3,0,17.333333333333332
3,5,08:10,6,30,1,13,2,1,2,2,0,2,1,9,0,6.5,3,0,39.0
3,2,20:20,1,40,1,0,4,4,2,2,0,2,1,9,0,6.5,3,0,39.0
3,5,15:42,6,30,2,0,-1,1,1,1,0,1,1,9,0,8.0,3,1,44.0
3,3,08:07,6,30,2,13,4,1,1,1,0,1,1,11,0,7.0,3,1,15.0
3,3,15:52,6,20,1,0,-1,4,2,2,0,2,1,9,1,5.0,3,0,94.0
3,4,05:30,6,30,1,0,-1,4,1,4,0,1,1,9,5,15.0,3,0,22.0
3,4,16:20,6,30,1,16,4,1,1,1,0,2,2,9,0,8.5,3,0,23.5
3,5,14:05,1,30,1,0,4,1,1,1,0,2,1,9,0,8.5,3,0,46.0
3,6,08:00,6,60,2,0,-1,1,1,1,0,2,2,9,0,6.5,3,0,53.0
3,3,23:50,3,70,2,0,-1,6,1,1,0,2,1,9,0,4.5,3,0,47.0
3,6,17:30,1,30,1,0,-1,4,2,2,0,2,3,9,0,2.5,3,0,10.666666666666666
3,5,10:45,6,30,1,13,4,1,1,1,0,2,1,1,0,3.5,3,0,56.0
3,6,18:10,6,30,1,0,-1,4,5,2,0,2,1,9,0,14.5,3,0,22.0
3,2,10:30,6,30,1,0,-1,1,1,1,0,2,1,1,0,1.0,3,0,62.0
2,2,05:30,1,30,1,0,2,4,1,1,0,2,1,1,0,1.5,2,0,26.0
3,2,12:13,6,30,1,13,4,4,1,1,0,2,2,9,0,8.5,3,0,43.0
3,7,06:30,6,30,1,0,-1,4,1,1,0,1,1,9,1,16.0,3,0,35.0
3,4,18:30,6,30,1,13,4,4,1,1,0,1,1,9,0,10.0,3,1,67.0
2,6,13:20,6,30,1,16,2,1,2,2,0,5,2,9,0,7.4,2,1,50.5
3,6,08:35,6,30,1,0,-1,1,1,1,0,2,1,9,0,-0.5,3,0,23.0
2,5,08:41,3,30,1,13,4,1,1,1,0,2,2,9,0,4.0,2,0,44.0
3,5,08:30,6,60,2,0,-1,1,7,4,0,2,1,9,0,8.5,3,0,19.0
3,1,20:09,6,30,1,19,4,4,1,1,0,2,4,9,0,9.5,3,0,23.5
3,6,19:45,6,40,2,19,4,1,1,1,0,3,2,9,0,7.666666666666667,3,0,48.0
3,3,08:10,6,30,1,16,4,1,1,1,0,2,2,9,0,6.5,3,0,35.0
3,3,08:55,6,30,1,0,-1,1,1,1,0,2,1,3,0,7.0,3,0,35.0
3,3,15:20,6,30,1,13,3,1,1,1,0,2,3,8,0,8.0,3,0,29.33333333333333
3,2,09:05,2,30,1,0,-1,1,1,1,0,1,2,9,0,8.0,3,0,1.5
3,4,20:05,2,20,1,13,4,4,1,1,0,2,1,1,0,1.5,3,0,63.0
3,6,16:30,9,30,2,0,-1,1,1,1,0,1,1,17,0,7.0,3,1,25.0
3,3,13:30,6,30,1,19,4,1,2,2,0,2,2,9,0,6.0,3,0,71.5
2,7,14:51,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,2,0,30.0
3,1,16:03,6,30,1,0,4,1,1,1,0,1,1,3,1,3.0,3,0,18.0
3,2,12:59,3,70,2,0,-1,1,1,1,0,3,3,9,0,1.3333333333333333,3,0,43.0
2,4,17:35,6,60,2,0,-1,1,1,1,0,2,2,9,0,5.5,2,0,20.5
3,6,14:23,6,30,1,13,4,1,1,1,0,3,1,9,0,12.333333333333334,3,0,32.0
3,3,20:03,6,30,1,16,2,1,1,1,0,2,1,9,0,6.0,3,0,38.0
3,6,08:18,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,3,0,63.0
3,7,11:12,6,30,2,0,-1,1,1,1,13,2,1,5,0,7.0,3,0,55.0
3,3,13:06,6,50,2,13,4,1,1,1,0,2,1,3,0,7.0,3,0,27.0
2,2,11:30,6,60,2,13,4,1,1,1,0,2,1,5,1,5.0,2,0,35.0
2,3,13:25,3,40,1,0,-1,1,1,1,0,1,1,9,0,2.0,2,1,37.0
2,4,19:29,6,30,1,13,4,7,1,1,0,2,1,9,0,7.0,2,0,16.0
3,6,12:34,6,30,1,13,4,1,1,1,0,3,1,3,0,8.0,3,0,19.0
3,3,08:01,6,30,1,13,4,1,1,1,0,2,1,1,0,2.5,3,0,35.0
3,5,12:30,6,20,1,0,-1,1,1,1,0,1,1,9,0,15.0,3,1,27.0
3,6,12:45,6,30,1,13,4,1,1,1,0,2,1,1,0,6.5,3,0,26.0
