collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
3,6,30,1,13,4,4,1,1,0,2,1,9,0,10.5,-0.17364817766693127,0.9848077530122079,-0.7818314824680299,0.6234898018587334,30
3,6,40,2,13,4,4,1,2,0,3,1,9,0,11.333333333333334,-0.8968727415326883,-0.44228869021900136,-0.433883739117558,-0.9009688679024191,80
3,6,30,2,19,4,1,2,2,0,2,1,3,1,8.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,60
3,9,30,1,0,-1,1,1,1,0,2,1,5,0,12.5,-0.27144044986507393,-0.9624552364536474,-0.7818314824680299,0.6234898018587334,30
3,3,30,1,0,4,1,1,1,0,2,1,1,0,5.5,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,30
3,6,30,1,13,4,1,1,1,0,2,1,1,0,4.5,0.6225146366376196,-0.7826081568524139,-0.7818314824680299,0.6234898018587334,30
2,6,30,1,13,4,1,1,1,0,2,1,9,0,3.5,-0.7575649843840494,-0.6527597524627227,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,0,-1,4,1,1,0,2,3,9,0,4.0,-0.35020738125946765,0.9366721892483976,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,2,1,2,2,0,2,1,9,0,6.5,0.8433914458128858,-0.5372996083468236,-0.9749279121818236,-0.2225209339563146,30
3,1,40,1,0,4,4,2,2,0,2,1,9,0,6.5,-0.8191520442889918,0.573576436351046,0.9749279121818236,-0.22252093395631434,40
3,6,30,2,0,-1,1,1,1,0,1,1,9,0,8.0,-0.8241261886220157,-0.5664062369248328,-0.9749279121818236,-0.2225209339563146,60
3,6,30,2,13,4,1,1,1,0,1,1,11,0,7.0,0.8503522249955631,-0.5262139236518693,0.43388373911755823,-0.900968867902419,60
3,6,20,1,0,-1,4,2,2,0,2,1,9,1,5.0,-0.848048096156426,-0.529919264233205,0.43388373911755823,-0.900968867902419,20
3,6,30,1,0,-1,4,1,4,0,1,1,9,5,15.0,0.9914448613738104,0.1305261922200517,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,16,4,1,1,1,0,2,2,9,0,8.5,-0.9063077870366497,-0.42261826174069994,-0.433883739117558,-0.9009688679024191,30
